Year,Neighborhooods,Number of Alarms
2020,Western Addition,1775
2020,Tenderloin,7178
2020,Sunset/Parkside,1934
2020,South of Market,5649
2020,Outer Richmond,1165
2020,Nob Hill,1616
2020,Mission,4393
2020,Financial District/South Beach,3288
2020,Castro/Upper Market,1223
2020,Bayview Hunters Point,2586
2019,Western Addition,10651
2019,Tenderloin,45852
2019,Sunset/Parkside,11294
2019,South of Market,35007
2019,Outer Richmond,7737
2019,Nob Hill,10542
2019,Mission,28763
2019,Financial District/South Beach,22652
2019,Castro/Upper Market,8052
2019,Bayview Hunters Point,17065
2018,Western Addition,10737
2018,Tenderloin,43894
2018,Sunset/Parkside,10902
2018,South of Market,32620
2018,Outer Richmond,7204
2018,Nob Hill,9927
2018,Mission,27108
2018,Financial District/South Beach,23946
2018,Castro/Upper Market,8326
2018,Bayview Hunters Point,15667
2017,Western Addition,10683
2017,Tenderloin,42727
2017,Sunset/Parkside,11386
2017,South of Market,31400
2017,Outer Richmond,8563
2017,Nob Hill,9933
2017,Mission,28260
2017,Financial District/South Beach,21877
2017,Castro/Upper Market,8742
2017,Bayview Hunters Point,15988
2016,Western Addition,10691
2016,Tenderloin,41815
2016,Sunset/Parkside,10840
2016,South of Market,31317
2016,Outer Richmond,7994
2016,Nob Hill,9987
2016,Mission,27138
2016,Financial District/South Beach,22538
2016,Castro/Upper Market,7800
2016,Bayview Hunters Point,15383
2015,Western Addition,10467
2015,Tenderloin,39207
2015,Sunset/Parkside,11129
2015,South of Market,30252
2015,Outer Richmond,7703
2015,Nob Hill,10226
2015,Mission,26785
2015,Financial District/South Beach,21400
2015,Castro/Upper Market,7473
2015,Bayview Hunters Point,14669
